simulation,selected_model,selection_mean_hits,outer_mean_hits,outer_total_hits,unadjusted_normal_p,appears_significant_p_le_0_05
351,recent100,0.7900485436893204,0.7366504854368932,607,0.47054362663143273,False
352,recent100,0.7754854368932039,0.7633495145631068,629,0.13954688860799924,False
353,exclude_last,0.7985436893203883,0.7305825242718447,602,0.5617039190713526,False
354,cold_gap,0.7548543689320388,0.691747572815534,570,0.9476125393906026,False
355,recent100,0.7560679611650486,0.7135922330097088,588,0.7872843859325471,False
356,repeat_last,0.787621359223301,0.7451456310679612,614,0.34650443451839497,False
357,historical,0.7742718446601942,0.7487864077669902,617,0.2972620413105247,False
358,historical,0.7609223300970874,0.7220873786407767,595,0.6830206541663417,False
359,historical,0.7682038834951457,0.7427184466019418,612,0.3809077895376133,False
360,recent20,0.7766990291262136,0.7148058252427184,589,0.7737324306823015,False
361,fixed_1_6,0.7572815533980582,0.7342233009708737,605,0.5070905203342269,False
362,cold_gap,0.7742718446601942,0.7682038834951457,633,0.10280799780698574,False
363,recent20,0.7572815533980582,0.7815533980582524,644,0.03836860397598392,True
364,exclude_last,0.7475728155339806,0.7475728155339806,616,0.3133231039979236,False
365,cold_gap,0.7597087378640777,0.7803398058252428,643,0.042344827891062045,True
366,exclude_last,0.7864077669902912,0.7694174757281553,634,0.09483576746811007,False
367,prespecified_full_linear,0.7730582524271845,0.7087378640776699,584,0.8365530202164848,False
368,cold_gap,0.7487864077669902,0.7038834951456311,580,0.8777362399752886,False
369,repeat_last,0.787621359223301,0.720873786407767,594,0.6991652543184983,False
370,recent50,0.7730582524271845,0.7487864077669902,617,0.2972620413105247,False
371,repeat_last,0.7633495145631068,0.7075242718446602,583,0.8476079784124912,False
372,cold_gap,0.7900485436893204,0.7317961165048543,603,0.5435779510099145,False
373,historical,0.7827669902912622,0.7063106796116505,582,0.8581550282525336,False
374,recent100,0.7718446601941747,0.712378640776699,587,0.8003502382496974,False
375,repeat_last,0.7342233009708737,0.7657766990291263,631,0.12019050963371014,False
376,recent50,0.7766990291262136,0.7087378640776699,584,0.8365530202164848,False
377,cold_gap,0.7548543689320388,0.7366504854368932,607,0.47054362663143273,False
378,exclude_last,0.7864077669902912,0.741504854368932,611,0.3984895521639562,False
379,cold_gap,0.7682038834951457,0.758495145631068,625,0.18432577747804996,False
380,exclude_last,0.7560679611650486,0.7305825242718447,602,0.5617039190713526,False
381,historical,0.7548543689320388,0.7815533980582524,644,0.03836860397598392,True
382,ewma,0.7645631067961165,0.787621359223301,649,0.022796947651367055,True
383,recent20,0.7718446601941747,0.7682038834951457,633,0.10280799780698574,False
384,ewma,0.7730582524271845,0.758495145631068,625,0.18432577747804996,False
385,cold_gap,0.7949029126213593,0.7014563106796117,578,0.895337242477618,False
386,fixed_1_6,0.7730582524271845,0.7257281553398058,598,0.6325617661226961,False
387,historical,0.7779126213592233,0.7609223300970874,627,0.16092100159564854,False
388,repeat_last,0.7888349514563107,0.7463592233009708,615,0.3297462616248388,False
389,exclude_last,0.7912621359223301,0.712378640776699,587,0.8003502382496974,False
390,cold_gap,0.7718446601941747,0.7148058252427184,589,0.7737324306823015,False
391,ewma,0.7754854368932039,0.7135922330097088,588,0.7872843859325471,False
392,cold_gap,0.7912621359223301,0.7621359223300971,628,0.14998015138892434,False
393,historical,0.7548543689320388,0.6808252427184466,561,0.9790585656639875,False
394,ewma,0.7475728155339806,0.7572815533980582,624,0.19678438713652951,False
395,fixed_1_6,0.7803398058252428,0.758495145631068,625,0.18432577747804996,False
396,fixed_1_6,0.7487864077669902,0.7196601941747572,593,0.7149281989699228,False
397,recent20,0.7475728155339806,0.7475728155339806,616,0.3133231039979236,False
398,cold_gap,0.7682038834951457,0.7487864077669902,617,0.2972620413105247,False
399,cold_gap,0.7803398058252428,0.75,618,0.28158805313955937,False
400,cold_gap,0.7754854368932039,0.7014563106796117,578,0.895337242477618,False
401,cold_gap,0.7682038834951457,0.741504854368932,611,0.3984895521639562,False
402,recent50,0.7694174757281553,0.7233009708737864,596,0.6665198595841199,False
403,fixed_1_6,0.7524271844660194,0.7293689320388349,601,0.5797013408847131,False
404,recent100,0.7645631067961165,0.7451456310679612,614,0.34650443451839497,False
405,fixed_1_6,0.787621359223301,0.7172330097087378,591,0.7452182926492441,False
406,fixed_1_6,0.7560679611650486,0.7475728155339806,616,0.3133231039979236,False
407,recent20,0.7985436893203883,0.720873786407767,594,0.6991652543184983,False
408,cold_gap,0.7766990291262136,0.8191747572815534,675,0.0007090466353029671,True
409,exclude_last,0.7742718446601942,0.8046116504854369,663,0.004134585920842519,True
410,recent20,0.7973300970873787,0.7196601941747572,593,0.7149281989699228,False
411,fixed_1_6,0.7548543689320388,0.7220873786407767,595,0.6830206541663417,False
412,repeat_last,0.7597087378640777,0.7378640776699029,608,0.4523436802930008,False
413,recent50,0.7597087378640777,0.7487864077669902,617,0.2972620413105247,False
414,repeat_last,0.7997572815533981,0.7572815533980582,624,0.19678438713652951,False
415,ewma,0.7633495145631068,0.6990291262135923,576,0.9110259673607168,False
416,recent100,0.7427184466019418,0.7257281553398058,598,0.6325617661226961,False
417,ewma,0.7949029126213593,0.6953883495145631,573,0.9311772565970722,False
418,cold_gap,0.7621359223300971,0.7463592233009708,615,0.3297462616248388,False
419,cold_gap,0.7949029126213593,0.75,618,0.28158805313955937,False
420,cold_gap,0.7572815533980582,0.7111650485436893,586,0.8129209871859224,False
421,repeat_last,0.8058252427184466,0.6953883495145631,573,0.9311772565970722,False
422,prespecified_full_linear,0.7657766990291263,0.7342233009708737,605,0.5070905203342269,False
423,cold_gap,0.7536407766990292,0.7463592233009708,615,0.3297462616248388,False
424,cold_gap,0.75,0.7087378640776699,584,0.8365530202164848,False
425,repeat_last,0.7487864077669902,0.7293689320388349,601,0.5797013408847131,False
426,recent100,0.7754854368932039,0.6953883495145631,573,0.9311772565970722,False
427,cold_gap,0.7888349514563107,0.6820388349514563,562,0.9766407492286588,False
428,recent20,0.7730582524271845,0.7536407766990292,621,0.2371047297908644,False
429,ewma,0.787621359223301,0.7645631067961165,630,0.12961854403261824,False
430,recent50,0.7572815533980582,0.720873786407767,594,0.6991652543184983,False
431,exclude_last,0.7487864077669902,0.7390776699029126,609,0.4342433395169152,False
432,historical,0.7694174757281553,0.7402912621359223,610,0.4162798370944438,False
433,cold_gap,0.7621359223300971,0.7512135922330098,619,0.2663239119791186,False
434,fixed_1_6,0.7803398058252428,0.7354368932038835,606,0.48880532163061946,False
435,fixed_1_6,0.7997572815533981,0.7111650485436893,586,0.8129209871859224,False
436,repeat_last,0.7730582524271845,0.7135922330097088,588,0.7872843859325471,False
437,cold_gap,0.7815533980582524,0.7184466019417476,592,0.7302862119135235,False
438,recent20,0.7730582524271845,0.7597087378640777,626,0.17237005601348904,False
439,cold_gap,0.7657766990291263,0.7645631067961165,630,0.12961854403261824,False
440,exclude_last,0.7888349514563107,0.7451456310679612,614,0.34650443451839497,False
441,recent100,0.7657766990291263,0.7135922330097088,588,0.7872843859325471,False
442,recent20,0.7669902912621359,0.7597087378640777,626,0.17237005601348904,False
443,cold_gap,0.7439320388349514,0.7597087378640777,626,0.17237005601348904,False
444,cold_gap,0.7997572815533981,0.7366504854368932,607,0.47054362663143273,False
445,recent100,0.7536407766990292,0.7463592233009708,615,0.3297462616248388,False
446,recent100,0.7669902912621359,0.7245145631067961,597,0.6496904049125702,False
447,exclude_last,0.8058252427184466,0.7184466019417476,592,0.7302862119135235,False
448,cold_gap,0.7742718446601942,0.7524271844660194,620,0.25149009712395237,False
449,cold_gap,0.75,0.6929611650485437,571,0.9425209637805891,False
450,ewma,0.7803398058252428,0.7014563106796117,578,0.895337242477618,False
451,repeat_last,0.7827669902912622,0.7742718446601942,638,0.06746939964998626,False
452,cold_gap,0.7609223300970874,0.7148058252427184,589,0.7737324306823015,False
453,historical,0.7815533980582524,0.6990291262135923,576,0.9110259673607168,False
454,prespecified_full_linear,0.7730582524271845,0.7160194174757282,590,0.7597057860482179,False
455,recent50,0.7463592233009708,0.7220873786407767,595,0.6830206541663417,False
456,cold_gap,0.7766990291262136,0.7233009708737864,596,0.6665198595841199,False
457,historical,0.7475728155339806,0.7827669902912622,645,0.03470218703781948,True
458,historical,0.7657766990291263,0.6589805825242718,543,0.9978803303723736,False
459,cold_gap,0.7754854368932039,0.7233009708737864,596,0.6665198595841199,False
460,recent50,0.8143203883495146,0.7160194174757282,590,0.7597057860482179,False
461,repeat_last,0.758495145631068,0.7366504854368932,607,0.47054362663143273,False
462,fixed_1_6,0.7718446601941747,0.7111650485436893,586,0.8129209871859224,False
463,cold_gap,0.7718446601941747,0.7014563106796117,578,0.895337242477618,False
464,recent20,0.7851941747572816,0.7439320388349514,613,0.3635685701246699,False
465,cold_gap,0.8033980582524272,0.7839805825242718,646,0.031328533425804585,True
466,recent100,0.7657766990291263,0.7342233009708737,605,0.5070905203342269,False
467,ewma,0.7888349514563107,0.7560679611650486,623,0.2097397920498521,False
468,cold_gap,0.7597087378640777,0.7257281553398058,598,0.6325617661226961,False
469,ewma,0.7997572815533981,0.7111650485436893,586,0.8129209871859224,False
470,recent50,0.7427184466019418,0.7087378640776699,584,0.8365530202164848,False
471,exclude_last,0.7597087378640777,0.6990291262135923,576,0.9110259673607168,False
472,prespecified_full_linear,0.779126213592233,0.7196601941747572,593,0.7149281989699228,False
473,fixed_1_6,0.7706310679611651,0.7317961165048543,603,0.5435779510099145,False
474,prespecified_full_linear,0.7851941747572816,0.7184466019417476,592,0.7302862119135235,False
475,ewma,0.7985436893203883,0.7317961165048543,603,0.5435779510099145,False
476,repeat_last,0.8021844660194175,0.7330097087378641,604,0.525360829848416,False
477,historical,0.7645631067961165,0.7572815533980582,624,0.19678438713652951,False
478,prespecified_full_linear,0.7754854368932039,0.7633495145631068,629,0.13954688860799924,False
479,recent100,0.7827669902912622,0.7305825242718447,602,0.5617039190713526,False
480,prespecified_full_linear,0.7827669902912622,0.7572815533980582,624,0.19678438713652951,False
481,ewma,0.7621359223300971,0.7366504854368932,607,0.47054362663143273,False
482,historical,0.7754854368932039,0.7196601941747572,593,0.7149281989699228,False
483,exclude_last,0.7548543689320388,0.7669902912621359,632,0.11125636257450994,False
