model,prediction_draws,average_hits,top10_average_hits,top12_average_hits,brier,log_loss,mean_probability_sum,raw_exact_p,normal_approx_p,bonferroni_p,holm_p,fdr_bh_p,simulation_familywise_p,paired_bootstrap_mean_hit_diff_ci_low,paired_bootstrap_mean_hit_diff_ci_high,block20_bootstrap_diff_ci_low,block20_bootstrap_diff_ci_high,brier_difference_vs_uniform,log_loss_difference_vs_uniform,calibration_intercept,calibration_slope,expected_calibration_error
FrequencyOnlyLogistic,1648,0.7160194174757282,1.2427184466019416,1.487257281553398,0.10747792419201455,0.3718817159321146,6.0,0.8446707944546125,0.8446444722560712,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.054475430949078654,0.01712651079849417,-0.05265504259956409,0.017126510798494164,2.2697203259869347e-05,0.00010553598866175351,-0.4039179426727789,0.7945058128550953,0.0
UniformRandomBaseline_seed20260728,1648,0.7141990291262136,1.2093446601941749,1.445995145631068,0.1284490198876362,0.5044657846374759,6.0,0.8668781640273094,0.8667093607209968,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.056295819298593223,0.01591291856548446,-0.05568902318208836,0.013485734099465034,0.020993792898881536,0.13268960469402308,-2.0057253676246836,-0.012433562329412274,0.12457325159208987
LastDrawOnlyLogistic,1648,0.7129854368932039,1.2172330097087378,1.4641990291262137,0.10747255923844336,0.37186065867689544,6.0,0.8804152438877066,0.8801617649543371,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.05690261541509808,0.014092530215969897,-0.054475430949078654,0.014107700118882299,1.73322496886813e-05,8.447873344258339e-05,-0.4038838302408752,0.7946523289999633,0.0
ExcludeLastDrawBaseline,1648,0.7129854368932039,1.2172330097087378,1.4641990291262137,0.10918478123390488,0.3948461399021111,6.0,0.8804152438877066,0.8801617649543371,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.05690261541509808,0.014092530215969887,-0.05570419308500098,0.015306122448979602,0.0017295542451502,0.023069959958658237,-1.9808134245985727,-0.005351131803027134,0.02726675373934004
HistoricalTop6Baseline,1648,0.7117718446601942,1.229368932038835,1.4775485436893203,0.10755848187388485,0.37225971555065085,6.0,0.8929561900482377,0.8926272363841354,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.058116207648107786,0.012878937982960179,-0.05872300376461264,0.017126510798494164,0.00010325488513017456,0.0004835356071979935,-2.2413648653440443,-0.13805023661095214,0.0005870355947810181
Bayesian,1648,0.7117718446601942,1.229368932038835,1.4775485436893203,0.10755848187388485,0.37225971555065085,6.0,0.8929561900482377,0.8926272363841354,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.05811620764810777,0.014092530215969887,-0.05934496978403011,0.017141680701406568,0.00010325488513017456,0.0004835356071979935,-2.2413648653440443,-0.13805023661095214,0.0005870355947810181
TransitionOnlyLogistic,1648,0.7087378640776699,1.1899271844660195,1.4508495145631068,0.10746062349179766,0.37180141511623926,6.0,0.9201192237206094,0.9196448125256664,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.06175698434713691,0.010451753516940773,-0.062363780463641764,0.01289410788587259,5.396503042987e-06,2.5235172786408633e-05,-0.40374809868586753,0.794928363018584,0.0
Markov,1648,0.7087378640776699,1.1899271844660195,1.4508495145631068,0.10760221475353382,0.37246998514002766,6.0,0.9201192237206094,0.9196448125256664,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.06175698434713691,0.011058549633445623,-0.061150188230632056,0.013485734099465036,0.000146987764779144,0.0006938051965748038,-2.11177412257498,-0.07225922909546,0.0015305785785206668
ExactUniformBaseline,1648,0.7063106796116505,1.1996359223300972,1.4550970873786409,0.10745522698875466,0.3717761799434528,6.0,0.9378261261147953,0.937280493998358,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.06418416881315633,0.006204180701406789,-0.061150188230632056,0.006204180701406789,-1.3877787807814457e-17,-5.551115123125783e-17,-0.4037750463395067,0.7952109882289516,0.0
FixedNumbersBaseline,1648,0.7063106796116505,1.1996359223300972,1.4550970873786409,0.19553660893721472,0.7493123441664181,6.000000000000001,0.9378261261147953,0.937280493998358,1.0,1.0,0.9378261261147953,0.025974025974025976,-0.06357737269665147,0.006810976817911639,-0.05993659599762235,0.005597384584901928,0.08808138194846005,0.37753616422296526,-1.9971926444649584,-0.0077006513256278036,0.19457790645483472
