target_index,model,hits_top6,hits_top10,hits_top12,brier,log_loss
2133,TransitionOnly,1,1,1,0.10769407842986953,0.37290014189634085
2134,TransitionOnly,0,0,1,0.10680695955223632,0.3686166352120173
2135,TransitionOnly,0,1,1,0.10802832259270526,0.3743397781231283
2136,TransitionOnly,0,0,0,0.10771871871196143,0.372584221617745
2137,TransitionOnly,0,0,1,0.10789584023078783,0.37372941149124334
2138,TransitionOnly,0,0,0,0.10977248850897947,0.3833599870516797
2139,TransitionOnly,3,3,3,0.10571054338718813,0.36608215685847256
2140,TransitionOnly,0,0,1,0.10820986727552487,0.3747224361512717
2141,TransitionOnly,0,0,2,0.10720566388217576,0.37047559388214685
2142,TransitionOnly,1,1,1,0.108067157214852,0.3746844430371718
2143,TransitionOnly,0,1,1,0.10823928540497377,0.37510401482242034
2144,TransitionOnly,0,1,1,0.10768811366106537,0.3727250489808903
2145,TransitionOnly,0,0,1,0.10827595356636326,0.3755410764552898
2146,TransitionOnly,1,2,2,0.10735764250813552,0.37127683979479065
2147,TransitionOnly,0,0,0,0.10784415818117857,0.37347502445986464
2128,FullFeatureBatchLogistic,1,1,1,0.10740992652180073,0.37158581275864183
2129,FullFeatureBatchLogistic,1,1,1,0.1077248454351971,0.3730355345174601
2130,FullFeatureBatchLogistic,1,2,2,0.10710212099503515,0.37011620353439056
2131,FullFeatureBatchLogistic,1,1,1,0.10771386535783253,0.37300909209177435
2132,FullFeatureBatchLogistic,2,2,2,0.10705741229614715,0.36994187967756975
2133,FullFeatureBatchLogistic,1,1,1,0.10737348025705257,0.37138349686913996
2134,FullFeatureBatchLogistic,0,0,0,0.10770594046404755,0.3729326979004891
2135,FullFeatureBatchLogistic,0,1,1,0.10747639836824022,0.37186042229863037
2136,FullFeatureBatchLogistic,1,1,1,0.10717557359903306,0.37046104601457686
2137,FullFeatureBatchLogistic,2,2,3,0.10720233266199031,0.3705935064204733
2138,FullFeatureBatchLogistic,1,2,2,0.10764035571619211,0.3726556545496555
2139,FullFeatureBatchLogistic,1,1,2,0.10737115687692475,0.3713778373897535
2140,FullFeatureBatchLogistic,1,1,2,0.10753339747864003,0.3721504504810364
2141,FullFeatureBatchLogistic,1,1,1,0.10734474264115387,0.37124412290772996
2142,FullFeatureBatchLogistic,1,1,1,0.10735517321185772,0.37131402673735614
2143,FullFeatureBatchLogistic,3,4,4,0.10665235475461116,0.3680628446341309
2144,FullFeatureBatchLogistic,1,2,2,0.10717838728462734,0.3704888977065865
2145,FullFeatureBatchLogistic,0,0,0,0.1077086536858952,0.3729480361065064
2146,FullFeatureBatchLogistic,2,2,2,0.10731172443004389,0.37112038054398944
2147,FullFeatureBatchLogistic,1,1,1,0.1073619186255452,0.3713394719843602
2128,FullFeatureOnlineSGD,0,1,2,0.10758950522608968,0.37204664603589405
2129,FullFeatureOnlineSGD,0,0,1,0.10882352020423733,0.3779114106842689
2130,FullFeatureOnlineSGD,0,0,1,0.1073836881311578,0.37091607504103385
2131,FullFeatureOnlineSGD,1,2,2,0.106918716354793,0.3701705421478496
2132,FullFeatureOnlineSGD,1,2,2,0.1055474831409276,0.36306290304545735
2133,FullFeatureOnlineSGD,1,1,3,0.10705459871550005,0.3696800173475918
2134,FullFeatureOnlineSGD,1,1,2,0.10826164956536917,0.37551425869137867
2135,FullFeatureOnlineSGD,0,1,1,0.10719515607370697,0.370215863739575
2136,FullFeatureOnlineSGD,1,1,2,0.10528663731389887,0.361924469263503
2137,FullFeatureOnlineSGD,0,1,2,0.10730053445624262,0.37076345604015204
2138,FullFeatureOnlineSGD,1,1,1,0.10870698949000435,0.37789602401680594
2139,FullFeatureOnlineSGD,1,1,1,0.10812339372043189,0.3748468440370129
2140,FullFeatureOnlineSGD,1,1,1,0.10721803106146666,0.370985176954751
2141,FullFeatureOnlineSGD,0,0,1,0.10781332844022777,0.37290178451997247
2142,FullFeatureOnlineSGD,1,1,1,0.10724220332219574,0.3706272392079713
2143,FullFeatureOnlineSGD,4,4,4,0.10386754885302038,0.35593746423519995
2144,FullFeatureOnlineSGD,1,2,2,0.10637606723017895,0.3669604053288391
2145,FullFeatureOnlineSGD,0,0,0,0.10896563995814017,0.3787805982269536
2146,FullFeatureOnlineSGD,1,1,2,0.10918370447351768,0.3802013341796922
2147,FullFeatureOnlineSGD,0,2,3,0.10718916692658695,0.3707575751221323
2128,FixedHoldoutLogistic,1,1,1,0.10740992652180073,0.37158581275864183
2129,FixedHoldoutLogistic,1,1,1,0.10774818231960541,0.37314620836627194
2130,FixedHoldoutLogistic,0,2,3,0.10708486490105625,0.3700370789159413
2131,FixedHoldoutLogistic,1,2,2,0.10770742301825328,0.37298028649898
2132,FixedHoldoutLogistic,2,2,2,0.10708996188611782,0.3700917294639803
2133,FixedHoldoutLogistic,1,1,1,0.10737773907413171,0.37140606443379415
2134,FixedHoldoutLogistic,0,0,0,0.10765654587612002,0.3726973010330399
2135,FixedHoldoutLogistic,0,1,1,0.10748320795221257,0.3718919406823871
2136,FixedHoldoutLogistic,1,1,1,0.10719375981283827,0.37054032078203414
2137,FixedHoldoutLogistic,1,2,2,0.10723225551699991,0.3707316276385686
2138,FixedHoldoutLogistic,1,2,2,0.10761454537883161,0.3725404907288534
2139,FixedHoldoutLogistic,1,1,2,0.10735558856788413,0.3713119710429689
2140,FixedHoldoutLogistic,1,1,1,0.10753348265060747,0.3721473610407256
2141,FixedHoldoutLogistic,1,1,1,0.10732307038499862,0.37113911045733994
2142,FixedHoldoutLogistic,1,1,1,0.10737880531903189,0.37143253058237485
2143,FixedHoldoutLogistic,3,4,5,0.10657936777716542,0.3677282818262706
2144,FixedHoldoutLogistic,1,1,1,0.10728107471232981,0.37095835453476633
2145,FixedHoldoutLogistic,0,0,0,0.10775997326480914,0.3731837565994683
2146,FixedHoldoutLogistic,2,2,2,0.10725314779204484,0.370854641284424
2147,FixedHoldoutLogistic,1,1,1,0.10745129905020027,0.37176464867715825
